name,num_threads,status,cpu_percent,create_time,pid,memory_percent,timestamp,system_cpu,system_memory,cpu_user_time,cpu_system_time,mem_rss,mem_vms,nice,ppid,read_speed,write_speed,record_id
ShellHost.exe,7,running,0,1763091410.4086688,9936,0.4062165053720687,1763091981.3701744,6.3,52.7,0.046875,0.09375,68210688,33931264,32,5708,0,0,1_9936
msedgewebview2.exe,7,running,0,1763091474.5069344,10000,0.059811618,1763091981.3701744,6.3,52.7,0.015625,0,10043392,2306048,32,7376,0,0,1_10000
msedgewebview2.exe,8,running,0,1763091474.629994,10012,0.014684581530894457,1763091981.3701744,6.3,52.7,0.046875,0.03125,2465792,11497472,32,7376,0,0,1_10012
svchost.exe,4,running,0,1763091409.9532056,10300,0.071666612,1763091981.3701744,6.3,52.7,0.09375,0.046875,12034048,2457600,32,1328,0,0,1_10300
msedgewebview2.exe,21,running,0,1763091474.602398,10532,0.054103657534092874,1763091981.3701744,6.3,52.7,0.125,0.09375,9084928,13762560,32,7376,0,0,1_10532
chrome.exe,10,running,0,1763091428.4540036,10568,0.14018652833563197,1763091981.3701744,6.3,52.7,0.046875,0.046875,23539712,10113024,32,8736,0,0,1_10568
Code.exe,15,running,0,1763091718.0090394,10628,3.844823489866419,1763091981.3701744,6.3,52.7,11.4375,3.171875,645611520,650424320,32,15184,0,0,1_10628
PhoneExperienceHost.exe,16,running,0,1763091425.610773,11064,1.0747552529089863,1763091981.3701744,6.3,52.7,1.546875,0.625,180469760,72126464,32,1572,0,0,1_11064
StartMenuExperienceHost.exe,23,running,0,1763091412.3287637,11128,1.0648273049304582,1763091981.3701744,6.3,52.7,1.640625,0.96875,178802688,89145344,32,1572,0,0,1_11128
Code.exe,7,running,0,1763091699.8402455,11200,0.20036404102120775,1763091981.3701744,6.3,52.7,0,0.03125,33644544,11026432,32,1220,0,0,1_11200
svchost.exe,9,running,0,1763091411.9740336,11660,0.15401735512635814,1763091981.3701744,6.3,52.7,0.109375,0.078125,25862144,3932160,32,1328,0,0,1_11660
AsusOptimizationStartupTask.exe,8,running,0,1763091408.1751292,11716,0.14130860599413886,1763091981.3701744,6.3,52.7,0.109375,0.1875,23728128,3977216,32,3908,0,0,1_11716
chrome.exe,31,running,0,1763091434.0462673,11772,1.7815178198128667,1763091981.3701744,6.3,52.7,31.6875,10.03125,299147264,261701632,64,8736,0,0,1_11772
CodeSetup-stable-ac4cbdf48759c7d8c3eb91ffe6bb04316e263c57.exe,1,running,0,1763091760.749643,11908,0.081545774,1763091981.3701744,6.3,52.7,0.25,0.09375,13692928,7520256,32,1220,0,0,1_11908
AsusMouseAgent.exe,3,running,0,1763091430,12068,0.11032950542231833,1763091981.3701744,6.3,52.7,0.015625,0.0625,18526208,4173824,32,5708,0,0,1_12068
svchost.exe,12,running,0,1763091409.954717,12212,0.2637126427416943,1763091981.3701744,6.3,52.7,0.34375,0.546875,44281856,11505664,32,1328,0,0,1_12212
chrome.exe,18,running,0,1763091744.9020967,12332,0.308107889,1763091981.3701744,6.3,52.7,0.078125,0.0625,51736576,18743296,64,8736,0,0,1_12332
msedgewebview2.exe,30,running,0,1763091413.8707986,12568,0.6006286562046748,1763091981.3701744,6.3,52.7,0.359375,0.265625,100855808,64352256,32,2884,0,0,1_12568
FileCoAuth.exe,12,running,0,1763091646.5778208,12596,0.2745675244381196,1763091981.3701744,6.3,52.7,0.109375,0.1875,46104576,14282752,32,1572,0,0,1_12596
taskhostw.exe,10,running,0,1763091410.013111,12684,0.1344785680727926,1763091981.3701744,6.3,52.7,0.078125,0.171875,22581248,6447104,32,2232,0,0,1_12684
